0,1,2
"{'label': 'Positive', 'score': 0.9999988079071045}","{'label': 'Neutral', 'score': 8.045043955462461e-07}","{'label': 'Negative', 'score': 3.188509651863569e-07}"
"{'label': 'Neutral', 'score': 0.9999761581420898}","{'label': 'Negative', 'score': 2.370627407799475e-05}","{'label': 'Positive', 'score': 1.6609587305538298e-07}"
"{'label': 'Negative', 'score': 0.9999988079071045}","{'label': 'Positive', 'score': 9.892885373119498e-07}","{'label': 'Neutral', 'score': 2.014305380271253e-07}"
"{'label': 'Negative', 'score': 0.9845467209815979}","{'label': 'Positive', 'score': 0.013600180856883526}","{'label': 'Neutral', 'score': 0.001853114110417664}"
"{'label': 'Negative', 'score': 0.9999961853027344}","{'label': 'Neutral', 'score': 3.6583951441571116e-06}","{'label': 'Positive', 'score': 1.4076869092605193e-07}"
"{'label': 'Positive', 'score': 0.9999915361404419}","{'label': 'Negative', 'score': 6.677786132058827e-06}","{'label': 'Neutral', 'score': 1.7686070350464433e-06}"
"{'label': 'Neutral', 'score': 0.9995313882827759}","{'label': 'Positive', 'score': 0.0004553013714030385}","{'label': 'Negative', 'score': 1.3341847079573199e-05}"
"{'label': 'Positive', 'score': 0.9999996423721313}","{'label': 'Negative', 'score': 2.0526063337911182e-07}","{'label': 'Neutral', 'score': 8.488556346719633e-08}"
"{'label': 'Negative', 'score': 0.9998903274536133}","{'label': 'Neutral', 'score': 0.00010538339120103046}","{'label': 'Positive', 'score': 4.332147000241093e-06}"
"{'label': 'Negative', 'score': 0.9869192242622375}","{'label': 'Positive', 'score': 0.013063971884548664}","{'label': 'Neutral', 'score': 1.677140789979603e-05}"
"{'label': 'Negative', 'score': 0.9999994039535522}","{'label': 'Positive', 'score': 5.307962851475168e-07}","{'label': 'Neutral', 'score': 1.973406149602397e-08}"
"{'label': 'Neutral', 'score': 0.9983444213867188}","{'label': 'Negative', 'score': 0.0009308872395195067}","{'label': 'Positive', 'score': 0.0007246783934533596}"
"{'label': 'Negative', 'score': 0.9483100175857544}","{'label': 'Neutral', 'score': 0.05168267339468002}","{'label': 'Positive', 'score': 7.367221314780181e-06}"
"{'label': 'Positive', 'score': 0.9998931884765625}","{'label': 'Neutral', 'score': 0.00010678802209440619}","{'label': 'Negative', 'score': 2.575031032847619e-08}"
"{'label': 'Negative', 'score': 0.781661331653595}","{'label': 'Neutral', 'score': 0.21808375418186188}","{'label': 'Positive', 'score': 0.00025494873989373446}"
"{'label': 'Negative', 'score': 0.8451680541038513}","{'label': 'Neutral', 'score': 0.1548202633857727}","{'label': 'Positive', 'score': 1.170432642538799e-05}"
"{'label': 'Neutral', 'score': 0.9898878931999207}","{'label': 'Negative', 'score': 0.010110687464475632}","{'label': 'Positive', 'score': 1.4737684068677481e-06}"
"{'label': 'Positive', 'score': 0.6692544221878052}","{'label': 'Neutral', 'score': 0.324661523103714}","{'label': 'Negative', 'score': 0.006084029097110033}"
"{'label': 'Negative', 'score': 0.9754828214645386}","{'label': 'Positive', 'score': 0.0243722815066576}","{'label': 'Neutral', 'score': 0.0001448805269319564}"
"{'label': 'Neutral', 'score': 0.9913983345031738}","{'label': 'Negative', 'score': 0.008412697352468967}","{'label': 'Positive', 'score': 0.00018895856919698417}"
"{'label': 'Positive', 'score': 0.987811267375946}","{'label': 'Neutral', 'score': 0.011704026721417904}","{'label': 'Negative', 'score': 0.000484644144307822}"
"{'label': 'Positive', 'score': 0.8925989866256714}","{'label': 'Neutral', 'score': 0.05819452181458473}","{'label': 'Negative', 'score': 0.049206413328647614}"
"{'label': 'Positive', 'score': 0.9999986886978149}","{'label': 'Neutral', 'score': 1.3344387070901575e-06}","{'label': 'Negative', 'score': 6.964887777627382e-09}"
"{'label': 'Neutral', 'score': 0.5014714002609253}","{'label': 'Negative', 'score': 0.498494416475296}","{'label': 'Positive', 'score': 3.420709617785178e-05}"
"{'label': 'Positive', 'score': 0.9997512698173523}","{'label': 'Neutral', 'score': 0.0002486590528860688}","{'label': 'Negative', 'score': 7.597546414217504e-08}"
"{'label': 'Neutral', 'score': 0.9914243221282959}","{'label': 'Negative', 'score': 0.006375431083142757}","{'label': 'Positive', 'score': 0.002200131304562092}"
"{'label': 'Neutral', 'score': 0.9999988079071045}","{'label': 'Negative', 'score': 1.0610428944346495e-06}","{'label': 'Positive', 'score': 9.337778550388975e-08}"
"{'label': 'Neutral', 'score': 0.9827773571014404}","{'label': 'Negative', 'score': 0.017209215089678764}","{'label': 'Positive', 'score': 1.3518297237169463e-05}"
"{'label': 'Neutral', 'score': 0.7449579834938049}","{'label': 'Negative', 'score': 0.2550387978553772}","{'label': 'Positive', 'score': 3.1843133001530077e-06}"
"{'label': 'Positive', 'score': 0.9988434314727783}","{'label': 'Neutral', 'score': 0.0011562738800421357}","{'label': 'Negative', 'score': 1.8372142562839144e-07}"
"{'label': 'Positive', 'score': 0.9992446899414062}","{'label': 'Negative', 'score': 0.0007547150598838925}","{'label': 'Neutral', 'score': 5.376744525165122e-07}"
"{'label': 'Neutral', 'score': 0.9836417436599731}","{'label': 'Negative', 'score': 0.01635511964559555}","{'label': 'Positive', 'score': 3.1115987439989112e-06}"
"{'label': 'Neutral', 'score': 0.9999934434890747}","{'label': 'Negative', 'score': 6.275856321735773e-06}","{'label': 'Positive', 'score': 2.3220724187922315e-07}"
"{'label': 'Neutral', 'score': 0.5198092460632324}","{'label': 'Negative', 'score': 0.48018473386764526}","{'label': 'Positive', 'score': 6.035049864294706e-06}"
"{'label': 'Neutral', 'score': 0.9928051829338074}","{'label': 'Negative', 'score': 0.007193588186055422}","{'label': 'Positive', 'score': 1.1882738135682303e-06}"
"{'label': 'Neutral', 'score': 0.9897810220718384}","{'label': 'Negative', 'score': 0.0077155339531600475}","{'label': 'Positive', 'score': 0.002503403229638934}"
"{'label': 'Negative', 'score': 0.9985718727111816}","{'label': 'Neutral', 'score': 0.0012774254428222775}","{'label': 'Positive', 'score': 0.00015065062325447798}"
