0,1,2
"{'label': 'Negative', 'score': 0.9999998807907104}","{'label': 'Positive', 'score': 1.0785555559778004e-07}","{'label': 'Neutral', 'score': 4.886493343292386e-08}"
"{'label': 'Negative', 'score': 0.9994865655899048}","{'label': 'Neutral', 'score': 0.0005030224565416574}","{'label': 'Positive', 'score': 1.0360629858041648e-05}"
"{'label': 'Negative', 'score': 0.9982771873474121}","{'label': 'Neutral', 'score': 0.0016529734712094069}","{'label': 'Positive', 'score': 6.989404937485233e-05}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Neutral', 'score': 6.935999863344477e-08}","{'label': 'Negative', 'score': 3.9729869172333565e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 9.55717727180172e-10}","{'label': 'Neutral', 'score': 6.021178555748463e-10}"
"{'label': 'Negative', 'score': 0.9996874332427979}","{'label': 'Positive', 'score': 0.00020822160877287388}","{'label': 'Neutral', 'score': 0.00010431877308292314}"
"{'label': 'Negative', 'score': 0.999835729598999}","{'label': 'Neutral', 'score': 0.0001599367242306471}","{'label': 'Positive', 'score': 4.366190296423156e-06}"
"{'label': 'Neutral', 'score': 0.9373911023139954}","{'label': 'Positive', 'score': 0.057791221886873245}","{'label': 'Negative', 'score': 0.0048176380805671215}"
"{'label': 'Neutral', 'score': 0.9997045397758484}","{'label': 'Positive', 'score': 0.0002035910583799705}","{'label': 'Negative', 'score': 9.183720976579934e-05}"
"{'label': 'Positive', 'score': 0.9606389999389648}","{'label': 'Negative', 'score': 0.0358847938477993}","{'label': 'Neutral', 'score': 0.003476178739219904}"
"{'label': 'Positive', 'score': 0.9998793601989746}","{'label': 'Neutral', 'score': 0.00012014558888040483}","{'label': 'Negative', 'score': 4.729707256956317e-07}"
"{'label': 'Negative', 'score': 0.9902341365814209}","{'label': 'Positive', 'score': 0.009555848315358162}","{'label': 'Neutral', 'score': 0.00020996587409172207}"
"{'label': 'Positive', 'score': 0.9907647371292114}","{'label': 'Neutral', 'score': 0.009233071468770504}","{'label': 'Negative', 'score': 2.184448476327816e-06}"
"{'label': 'Negative', 'score': 0.9999996423721313}","{'label': 'Neutral', 'score': 3.212775254723965e-07}","{'label': 'Positive', 'score': 7.65494334586947e-09}"
"{'label': 'Neutral', 'score': 0.9999953508377075}","{'label': 'Negative', 'score': 4.235536380292615e-06}","{'label': 'Positive', 'score': 3.9277853147723363e-07}"
"{'label': 'Neutral', 'score': 0.9999970197677612}","{'label': 'Positive', 'score': 2.4355456389457686e-06}","{'label': 'Negative', 'score': 5.574681267717096e-07}"
"{'label': 'Negative', 'score': 0.9994250535964966}","{'label': 'Neutral', 'score': 0.0005703595816157758}","{'label': 'Positive', 'score': 4.5653282541024964e-06}"
"{'label': 'Neutral', 'score': 0.9571720361709595}","{'label': 'Positive', 'score': 0.0427384190261364}","{'label': 'Negative', 'score': 8.959048864198849e-05}"
"{'label': 'Neutral', 'score': 0.9999955892562866}","{'label': 'Negative', 'score': 3.424924216233194e-06}","{'label': 'Positive', 'score': 9.199834494211245e-07}"
"{'label': 'Negative', 'score': 0.9997969269752502}","{'label': 'Neutral', 'score': 0.00019364457693882287}","{'label': 'Positive', 'score': 9.412841791345272e-06}"
"{'label': 'Neutral', 'score': 0.9995555281639099}","{'label': 'Positive', 'score': 0.00043225890840403736}","{'label': 'Negative', 'score': 1.2143874300818425e-05}"
"{'label': 'Negative', 'score': 0.9992984533309937}","{'label': 'Neutral', 'score': 0.0006345073343254626}","{'label': 'Positive', 'score': 6.698883225908503e-05}"
"{'label': 'Positive', 'score': 0.9977274537086487}","{'label': 'Negative', 'score': 0.0022701239213347435}","{'label': 'Neutral', 'score': 2.3704667455604067e-06}"
"{'label': 'Negative', 'score': 0.9987534284591675}","{'label': 'Positive', 'score': 0.0009834093507379293}","{'label': 'Neutral', 'score': 0.00026319469907321036}"
"{'label': 'Neutral', 'score': 0.9998394250869751}","{'label': 'Positive', 'score': 0.0001233970542671159}","{'label': 'Negative', 'score': 3.7207875720923766e-05}"
"{'label': 'Neutral', 'score': 0.9998921155929565}","{'label': 'Negative', 'score': 0.00010079658386530355}","{'label': 'Positive', 'score': 7.026753792160889e-06}"
"{'label': 'Neutral', 'score': 0.9294472336769104}","{'label': 'Positive', 'score': 0.057339806109666824}","{'label': 'Negative', 'score': 0.013212992809712887}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.355214772682302e-08}","{'label': 'Negative', 'score': 3.834390582824199e-09}"
"{'label': 'Neutral', 'score': 0.9999940395355225}","{'label': 'Negative', 'score': 5.777712431154214e-06}","{'label': 'Positive', 'score': 2.232196436580125e-07}"
