0,1,2
"{'label': 'Negative', 'score': 0.9999536275863647}","{'label': 'Neutral', 'score': 4.5369644794845954e-05}","{'label': 'Positive', 'score': 9.44872454056167e-07}"
"{'label': 'Neutral', 'score': 0.9998759031295776}","{'label': 'Negative', 'score': 0.00012400001287460327}","{'label': 'Positive', 'score': 8.530058437372645e-08}"
"{'label': 'Neutral', 'score': 0.9997490048408508}","{'label': 'Negative', 'score': 0.00024078774731606245}","{'label': 'Positive', 'score': 1.0278192348778248e-05}"
"{'label': 'Positive', 'score': 0.9885237812995911}","{'label': 'Neutral', 'score': 0.011433109641075134}","{'label': 'Negative', 'score': 4.317761704442091e-05}"
"{'label': 'Positive', 'score': 0.9997603297233582}","{'label': 'Negative', 'score': 0.0001243747101398185}","{'label': 'Neutral', 'score': 0.00011530128540471196}"
"{'label': 'Positive', 'score': 0.9846590757369995}","{'label': 'Neutral', 'score': 0.015128680504858494}","{'label': 'Negative', 'score': 0.0002122006844729185}"
"{'label': 'Positive', 'score': 0.9999994039535522}","{'label': 'Negative', 'score': 3.8559247172997857e-07}","{'label': 'Neutral', 'score': 2.331659203491654e-07}"
"{'label': 'Negative', 'score': 0.8189941048622131}","{'label': 'Neutral', 'score': 0.18097354471683502}","{'label': 'Positive', 'score': 3.237023702240549e-05}"
"{'label': 'Positive', 'score': 0.6802399754524231}","{'label': 'Negative', 'score': 0.16322164237499237}","{'label': 'Neutral', 'score': 0.15653832256793976}"
"{'label': 'Neutral', 'score': 0.9996448755264282}","{'label': 'Negative', 'score': 0.00023580100969411433}","{'label': 'Positive', 'score': 0.00011928088497370481}"
"{'label': 'Neutral', 'score': 0.9998761415481567}","{'label': 'Positive', 'score': 0.00010567081335466355}","{'label': 'Negative', 'score': 1.8097536667482927e-05}"
"{'label': 'Positive', 'score': 0.9999743700027466}","{'label': 'Neutral', 'score': 1.9668907043524086e-05}","{'label': 'Negative', 'score': 5.912106644245796e-06}"
"{'label': 'Positive', 'score': 0.9999988079071045}","{'label': 'Neutral', 'score': 1.1812262528110296e-06}","{'label': 'Negative', 'score': 8.345744539894895e-09}"
"{'label': 'Negative', 'score': 0.9992393255233765}","{'label': 'Positive', 'score': 0.0007604044512845576}","{'label': 'Neutral', 'score': 3.1707955372439756e-07}"
"{'label': 'Neutral', 'score': 0.9206602573394775}","{'label': 'Negative', 'score': 0.07471741735935211}","{'label': 'Positive', 'score': 0.00462231645360589}"
"{'label': 'Neutral', 'score': 0.7105466723442078}","{'label': 'Negative', 'score': 0.28920087218284607}","{'label': 'Positive', 'score': 0.0002525262825656682}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 8.506756188353393e-09}","{'label': 'Negative', 'score': 4.275230836014998e-09}"
"{'label': 'Neutral', 'score': 0.9975772500038147}","{'label': 'Negative', 'score': 0.0023124669678509235}","{'label': 'Positive', 'score': 0.00011034486669814214}"
"{'label': 'Neutral', 'score': 0.998568058013916}","{'label': 'Negative', 'score': 0.0014317247550934553}","{'label': 'Positive', 'score': 1.937581544098066e-07}"
"{'label': 'Negative', 'score': 0.9600831270217896}","{'label': 'Neutral', 'score': 0.03991611674427986}","{'label': 'Positive', 'score': 8.047845199143921e-07}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Negative', 'score': 2.529779408178001e-07}","{'label': 'Neutral', 'score': 1.5401980135720805e-08}"
"{'label': 'Neutral', 'score': 0.9999887943267822}","{'label': 'Negative', 'score': 8.035666724026669e-06}","{'label': 'Positive', 'score': 3.225337877665879e-06}"
"{'label': 'Neutral', 'score': 0.980951189994812}","{'label': 'Positive', 'score': 0.018692022189497948}","{'label': 'Negative', 'score': 0.00035683397436514497}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Negative', 'score': 1.5576650014281768e-07}","{'label': 'Neutral', 'score': 1.1470673300095768e-08}"
"{'label': 'Neutral', 'score': 0.9984307885169983}","{'label': 'Positive', 'score': 0.0013360128505155444}","{'label': 'Negative', 'score': 0.0002331133437110111}"
"{'label': 'Positive', 'score': 0.9999603033065796}","{'label': 'Neutral', 'score': 3.6029479815624654e-05}","{'label': 'Negative', 'score': 3.74627461496857e-06}"
"{'label': 'Positive', 'score': 0.9996567964553833}","{'label': 'Neutral', 'score': 0.0003428743511904031}","{'label': 'Negative', 'score': 3.8504597910105076e-07}"
