0,1,2
"{'label': 'positive', 'score': 0.9512138962745667}","{'label': 'neutral', 'score': 0.02712005190551281}","{'label': 'negative', 'score': 0.02166595682501793}"
"{'label': 'positive', 'score': 0.5149045586585999}","{'label': 'negative', 'score': 0.4562520980834961}","{'label': 'neutral', 'score': 0.028843386098742485}"
"{'label': 'positive', 'score': 0.6872851252555847}","{'label': 'neutral', 'score': 0.18054701387882233}","{'label': 'negative', 'score': 0.13216787576675415}"
"{'label': 'positive', 'score': 0.4917106330394745}","{'label': 'negative', 'score': 0.4866802394390106}","{'label': 'neutral', 'score': 0.021609140560030937}"
"{'label': 'positive', 'score': 0.7305887341499329}","{'label': 'neutral', 'score': 0.2443143129348755}","{'label': 'negative', 'score': 0.02509697526693344}"
"{'label': 'neutral', 'score': 0.9344581961631775}","{'label': 'positive', 'score': 0.0406554751098156}","{'label': 'negative', 'score': 0.024886274710297585}"
"{'label': 'negative', 'score': 0.962691605091095}","{'label': 'neutral', 'score': 0.02343429997563362}","{'label': 'positive', 'score': 0.013874059543013573}"
"{'label': 'neutral', 'score': 0.8401016592979431}","{'label': 'positive', 'score': 0.14767161011695862}","{'label': 'negative', 'score': 0.012226716615259647}"
"{'label': 'negative', 'score': 0.9711207151412964}","{'label': 'neutral', 'score': 0.020082222297787666}","{'label': 'positive', 'score': 0.00879699643701315}"
"{'label': 'negative', 'score': 0.9615148305892944}","{'label': 'positive', 'score': 0.020649056881666183}","{'label': 'neutral', 'score': 0.017836155369877815}"
"{'label': 'positive', 'score': 0.9253968596458435}","{'label': 'neutral', 'score': 0.059268537908792496}","{'label': 'negative', 'score': 0.01533452607691288}"
"{'label': 'neutral', 'score': 0.4943222999572754}","{'label': 'positive', 'score': 0.46862438321113586}","{'label': 'negative', 'score': 0.03705326095223427}"
"{'label': 'negative', 'score': 0.968343198299408}","{'label': 'neutral', 'score': 0.020420711487531662}","{'label': 'positive', 'score': 0.011236137710511684}"
"{'label': 'neutral', 'score': 0.7504523396492004}","{'label': 'negative', 'score': 0.19106142222881317}","{'label': 'positive', 'score': 0.05848624184727669}"
"{'label': 'negative', 'score': 0.7529234886169434}","{'label': 'neutral', 'score': 0.21492017805576324}","{'label': 'positive', 'score': 0.0321563296020031}"
"{'label': 'negative', 'score': 0.5714249610900879}","{'label': 'positive', 'score': 0.2835918664932251}","{'label': 'neutral', 'score': 0.144983172416687}"
"{'label': 'negative', 'score': 0.9684270620346069}","{'label': 'neutral', 'score': 0.020863663405179977}","{'label': 'positive', 'score': 0.010709348134696484}"
"{'label': 'neutral', 'score': 0.8806403279304504}","{'label': 'positive', 'score': 0.07906030863523483}","{'label': 'negative', 'score': 0.0402994230389595}"
"{'label': 'positive', 'score': 0.6350308060646057}","{'label': 'neutral', 'score': 0.3075731694698334}","{'label': 'negative', 'score': 0.057396043092012405}"
"{'label': 'neutral', 'score': 0.7948932647705078}","{'label': 'negative', 'score': 0.17079320549964905}","{'label': 'positive', 'score': 0.03431353718042374}"
"{'label': 'neutral', 'score': 0.8027420043945312}","{'label': 'positive', 'score': 0.17580994963645935}","{'label': 'negative', 'score': 0.021448055282235146}"
"{'label': 'positive', 'score': 0.7559005618095398}","{'label': 'neutral', 'score': 0.1301688253879547}","{'label': 'negative', 'score': 0.11393062025308609}"
"{'label': 'positive', 'score': 0.9184163212776184}","{'label': 'neutral', 'score': 0.05679226666688919}","{'label': 'negative', 'score': 0.024791346862912178}"
"{'label': 'neutral', 'score': 0.8912764191627502}","{'label': 'positive', 'score': 0.08509932458400726}","{'label': 'negative', 'score': 0.023624209687113762}"
"{'label': 'positive', 'score': 0.5254661440849304}","{'label': 'neutral', 'score': 0.39645257592201233}","{'label': 'negative', 'score': 0.07808123528957367}"
"{'label': 'positive', 'score': 0.8965440988540649}","{'label': 'negative', 'score': 0.08273103833198547}","{'label': 'neutral', 'score': 0.020724864676594734}"
"{'label': 'positive', 'score': 0.5586838126182556}","{'label': 'negative', 'score': 0.41901832818984985}","{'label': 'neutral', 'score': 0.022297829389572144}"
"{'label': 'neutral', 'score': 0.7843138575553894}","{'label': 'positive', 'score': 0.20562386512756348}","{'label': 'negative', 'score': 0.0100622633472085}"
"{'label': 'negative', 'score': 0.9687308073043823}","{'label': 'neutral', 'score': 0.021422766149044037}","{'label': 'positive', 'score': 0.009846383705735207}"
"{'label': 'negative', 'score': 0.8241244554519653}","{'label': 'neutral', 'score': 0.15842431783676147}","{'label': 'positive', 'score': 0.01745125651359558}"
"{'label': 'negative', 'score': 0.9740990400314331}","{'label': 'neutral', 'score': 0.015021107159554958}","{'label': 'positive', 'score': 0.01087973266839981}"
"{'label': 'neutral', 'score': 0.8845395445823669}","{'label': 'positive', 'score': 0.08858495205640793}","{'label': 'negative', 'score': 0.02687549963593483}"
"{'label': 'neutral', 'score': 0.8227297067642212}","{'label': 'positive', 'score': 0.1409657746553421}","{'label': 'negative', 'score': 0.03630451485514641}"
"{'label': 'negative', 'score': 0.9583819508552551}","{'label': 'positive', 'score': 0.026941007003188133}","{'label': 'neutral', 'score': 0.014676973223686218}"
"{'label': 'negative', 'score': 0.9584311246871948}","{'label': 'neutral', 'score': 0.031163319945335388}","{'label': 'positive', 'score': 0.01040556188672781}"
"{'label': 'positive', 'score': 0.7695750594139099}","{'label': 'neutral', 'score': 0.20544184744358063}","{'label': 'negative', 'score': 0.024983180686831474}"
"{'label': 'neutral', 'score': 0.927727460861206}","{'label': 'positive', 'score': 0.05071146413683891}","{'label': 'negative', 'score': 0.021561093628406525}"
"{'label': 'positive', 'score': 0.9464708566665649}","{'label': 'neutral', 'score': 0.03392815217375755}","{'label': 'negative', 'score': 0.01960098184645176}"
"{'label': 'negative', 'score': 0.9691736698150635}","{'label': 'neutral', 'score': 0.019538724794983864}","{'label': 'positive', 'score': 0.011287554167211056}"
"{'label': 'negative', 'score': 0.8941745162010193}","{'label': 'positive', 'score': 0.06376524269580841}","{'label': 'neutral', 'score': 0.04206022620201111}"
"{'label': 'negative', 'score': 0.9696131348609924}","{'label': 'neutral', 'score': 0.016586780548095703}","{'label': 'positive', 'score': 0.01380001101642847}"
"{'label': 'positive', 'score': 0.8297696709632874}","{'label': 'negative', 'score': 0.1275322139263153}","{'label': 'neutral', 'score': 0.042698074132204056}"
"{'label': 'neutral', 'score': 0.9280862808227539}","{'label': 'positive', 'score': 0.047471728175878525}","{'label': 'negative', 'score': 0.024441983550786972}"
"{'label': 'negative', 'score': 0.5560874342918396}","{'label': 'neutral', 'score': 0.3680609464645386}","{'label': 'positive', 'score': 0.07585160434246063}"
"{'label': 'negative', 'score': 0.48469945788383484}","{'label': 'neutral', 'score': 0.43575194478034973}","{'label': 'positive', 'score': 0.07954856008291245}"
"{'label': 'positive', 'score': 0.569010853767395}","{'label': 'neutral', 'score': 0.4212241768836975}","{'label': 'negative', 'score': 0.00976497121155262}"
"{'label': 'negative', 'score': 0.5201190710067749}","{'label': 'neutral', 'score': 0.39978861808776855}","{'label': 'positive', 'score': 0.08009225130081177}"
"{'label': 'positive', 'score': 0.8611469268798828}","{'label': 'neutral', 'score': 0.120966337621212}","{'label': 'negative', 'score': 0.01788671314716339}"
"{'label': 'neutral', 'score': 0.8971224427223206}","{'label': 'positive', 'score': 0.09130347520112991}","{'label': 'negative', 'score': 0.011574073694646358}"
"{'label': 'neutral', 'score': 0.860206127166748}","{'label': 'positive', 'score': 0.08878862112760544}","{'label': 'negative', 'score': 0.05100525915622711}"
"{'label': 'negative', 'score': 0.9688164591789246}","{'label': 'neutral', 'score': 0.01810462959110737}","{'label': 'positive', 'score': 0.01307882834225893}"
"{'label': 'neutral', 'score': 0.5192400217056274}","{'label': 'negative', 'score': 0.4376157522201538}","{'label': 'positive', 'score': 0.04314420372247696}"
"{'label': 'positive', 'score': 0.8582503795623779}","{'label': 'negative', 'score': 0.09367071837186813}","{'label': 'neutral', 'score': 0.048078861087560654}"
"{'label': 'positive', 'score': 0.9496508836746216}","{'label': 'neutral', 'score': 0.033810440450906754}","{'label': 'negative', 'score': 0.01653866097331047}"
"{'label': 'negative', 'score': 0.6091790199279785}","{'label': 'neutral', 'score': 0.3543708026409149}","{'label': 'positive', 'score': 0.03645021468400955}"
"{'label': 'negative', 'score': 0.9770853519439697}","{'label': 'neutral', 'score': 0.014481019228696823}","{'label': 'positive', 'score': 0.008433631621301174}"
"{'label': 'negative', 'score': 0.459908664226532}","{'label': 'positive', 'score': 0.3135179281234741}","{'label': 'neutral', 'score': 0.2265734225511551}"
"{'label': 'neutral', 'score': 0.9318994879722595}","{'label': 'positive', 'score': 0.05173944681882858}","{'label': 'negative', 'score': 0.01636100560426712}"
"{'label': 'negative', 'score': 0.9742283821105957}","{'label': 'neutral', 'score': 0.017069745808839798}","{'label': 'positive', 'score': 0.008701874874532223}"
"{'label': 'negative', 'score': 0.843799889087677}","{'label': 'positive', 'score': 0.12423890829086304}","{'label': 'neutral', 'score': 0.03196117281913757}"
"{'label': 'negative', 'score': 0.5821402072906494}","{'label': 'neutral', 'score': 0.34542784094810486}","{'label': 'positive', 'score': 0.0724320188164711}"
"{'label': 'neutral', 'score': 0.9456915259361267}","{'label': 'positive', 'score': 0.03265851363539696}","{'label': 'negative', 'score': 0.021650034934282303}"
"{'label': 'neutral', 'score': 0.8985533118247986}","{'label': 'positive', 'score': 0.08490542322397232}","{'label': 'negative', 'score': 0.016541283577680588}"
"{'label': 'positive', 'score': 0.9363452196121216}","{'label': 'negative', 'score': 0.0440656952559948}","{'label': 'neutral', 'score': 0.019589198753237724}"
"{'label': 'negative', 'score': 0.9725922346115112}","{'label': 'neutral', 'score': 0.016741925850510597}","{'label': 'positive', 'score': 0.010665803216397762}"
"{'label': 'negative', 'score': 0.9665079116821289}","{'label': 'neutral', 'score': 0.024694742634892464}","{'label': 'positive', 'score': 0.008797364309430122}"
"{'label': 'positive', 'score': 0.8620116710662842}","{'label': 'neutral', 'score': 0.11383658647537231}","{'label': 'negative', 'score': 0.024151770398020744}"
"{'label': 'neutral', 'score': 0.9360248446464539}","{'label': 'positive', 'score': 0.04422156885266304}","{'label': 'negative', 'score': 0.01975353993475437}"
