0,1,2
"{'label': 'Neutral', 'score': 0.9999605417251587}","{'label': 'Negative', 'score': 3.829639172181487e-05}","{'label': 'Positive', 'score': 1.2334916164036258e-06}"
"{'label': 'Neutral', 'score': 0.9999580383300781}","{'label': 'Negative', 'score': 4.004711445304565e-05}","{'label': 'Positive', 'score': 1.8761247702059336e-06}"
"{'label': 'Neutral', 'score': 0.9999947547912598}","{'label': 'Positive', 'score': 4.247827291692374e-06}","{'label': 'Negative', 'score': 9.688500313131954e-07}"
"{'label': 'Neutral', 'score': 0.999652624130249}","{'label': 'Positive', 'score': 0.00034054159186780453}","{'label': 'Negative', 'score': 6.777925136702834e-06}"
"{'label': 'Neutral', 'score': 0.9999113082885742}","{'label': 'Negative', 'score': 8.74377292348072e-05}","{'label': 'Positive', 'score': 1.2185995501567959e-06}"
"{'label': 'Neutral', 'score': 0.9997411370277405}","{'label': 'Negative', 'score': 0.00023346625675912946}","{'label': 'Positive', 'score': 2.5426585125387646e-05}"
"{'label': 'Neutral', 'score': 0.9954621195793152}","{'label': 'Negative', 'score': 0.004510743077844381}","{'label': 'Positive', 'score': 2.7222773496760055e-05}"
"{'label': 'Negative', 'score': 0.9999872446060181}","{'label': 'Neutral', 'score': 1.1756322237488348e-05}","{'label': 'Positive', 'score': 1.0201866871284437e-06}"
"{'label': 'Negative', 'score': 0.9889306426048279}","{'label': 'Neutral', 'score': 0.011065993458032608}","{'label': 'Positive', 'score': 3.3366409297741484e-06}"
"{'label': 'Neutral', 'score': 0.9999526739120483}","{'label': 'Negative', 'score': 4.5734643208561465e-05}","{'label': 'Positive', 'score': 1.5870031120357453e-06}"
"{'label': 'Neutral', 'score': 0.9999325275421143}","{'label': 'Negative', 'score': 6.524187483591959e-05}","{'label': 'Positive', 'score': 2.2457879822468385e-06}"
"{'label': 'Neutral', 'score': 0.9999715089797974}","{'label': 'Negative', 'score': 2.6581770725897513e-05}","{'label': 'Positive', 'score': 1.9031233478017384e-06}"
"{'label': 'Positive', 'score': 0.735501229763031}","{'label': 'Neutral', 'score': 0.2641967833042145}","{'label': 'Negative', 'score': 0.00030196181614883244}"
"{'label': 'Neutral', 'score': 0.7268189787864685}","{'label': 'Positive', 'score': 0.2727581560611725}","{'label': 'Negative', 'score': 0.00042292746366001666}"
"{'label': 'Positive', 'score': 0.9954765439033508}","{'label': 'Negative', 'score': 0.004492343869060278}","{'label': 'Neutral', 'score': 3.107287921011448e-05}"
"{'label': 'Positive', 'score': 0.9037508368492126}","{'label': 'Neutral', 'score': 0.09622745960950851}","{'label': 'Negative', 'score': 2.1731799279223196e-05}"
"{'label': 'Positive', 'score': 0.8536331653594971}","{'label': 'Neutral', 'score': 0.14603903889656067}","{'label': 'Negative', 'score': 0.000327817426295951}"
"{'label': 'Neutral', 'score': 0.9249395728111267}","{'label': 'Negative', 'score': 0.07483634352684021}","{'label': 'Positive', 'score': 0.00022401678143069148}"
"{'label': 'Neutral', 'score': 0.8196628093719482}","{'label': 'Positive', 'score': 0.18015402555465698}","{'label': 'Negative', 'score': 0.0001831313711591065}"
"{'label': 'Negative', 'score': 0.9999977350234985}","{'label': 'Neutral', 'score': 2.17189244722249e-06}","{'label': 'Positive', 'score': 5.1330772521396284e-08}"
"{'label': 'Negative', 'score': 0.9999998807907104}","{'label': 'Positive', 'score': 1.6517967083018448e-07}","{'label': 'Neutral', 'score': 8.895945313724951e-09}"
"{'label': 'Neutral', 'score': 0.640468955039978}","{'label': 'Positive', 'score': 0.35945379734039307}","{'label': 'Negative', 'score': 7.724350871285424e-05}"
"{'label': 'Positive', 'score': 0.9999803304672241}","{'label': 'Negative', 'score': 1.7578500774106942e-05}","{'label': 'Neutral', 'score': 2.182805928896414e-06}"
"{'label': 'Neutral', 'score': 0.9999946355819702}","{'label': 'Negative', 'score': 4.733441073767608e-06}","{'label': 'Positive', 'score': 5.695351887879951e-07}"
"{'label': 'Positive', 'score': 0.7719020247459412}","{'label': 'Neutral', 'score': 0.2280881255865097}","{'label': 'Negative', 'score': 9.845241038419772e-06}"
"{'label': 'Negative', 'score': 0.9999998807907104}","{'label': 'Positive', 'score': 1.1558616108686692e-07}","{'label': 'Neutral', 'score': 2.5985851692666984e-08}"
"{'label': 'Positive', 'score': 0.9997811913490295}","{'label': 'Neutral', 'score': 0.00021666336397174746}","{'label': 'Negative', 'score': 2.1924493012193125e-06}"
"{'label': 'Neutral', 'score': 0.9999568462371826}","{'label': 'Negative', 'score': 4.275821993360296e-05}","{'label': 'Positive', 'score': 3.81274475103055e-07}"
"{'label': 'Positive', 'score': 0.6188923120498657}","{'label': 'Neutral', 'score': 0.3810576796531677}","{'label': 'Negative', 'score': 5.0005506636807695e-05}"
"{'label': 'Negative', 'score': 0.9999904632568359}","{'label': 'Neutral', 'score': 7.683840522076935e-06}","{'label': 'Positive', 'score': 1.8804381625159294e-06}"
"{'label': 'Positive', 'score': 0.7893865704536438}","{'label': 'Neutral', 'score': 0.21060925722122192}","{'label': 'Negative', 'score': 4.248941877449397e-06}"
"{'label': 'Negative', 'score': 0.9993817806243896}","{'label': 'Neutral', 'score': 0.000614449440035969}","{'label': 'Positive', 'score': 3.760794243135024e-06}"
"{'label': 'Negative', 'score': 0.9193845391273499}","{'label': 'Neutral', 'score': 0.0803200900554657}","{'label': 'Positive', 'score': 0.00029538042144849896}"
"{'label': 'Neutral', 'score': 0.9999572038650513}","{'label': 'Negative', 'score': 4.154626003582962e-05}","{'label': 'Positive', 'score': 1.2097865464966162e-06}"
"{'label': 'Neutral', 'score': 0.9999953508377075}","{'label': 'Negative', 'score': 4.665421784011414e-06}","{'label': 'Positive', 'score': 4.5052189534544596e-08}"
"{'label': 'Negative', 'score': 0.8849887251853943}","{'label': 'Neutral', 'score': 0.11259081214666367}","{'label': 'Positive', 'score': 0.002420446602627635}"
"{'label': 'Negative', 'score': 0.9997586607933044}","{'label': 'Neutral', 'score': 0.000209334961255081}","{'label': 'Positive', 'score': 3.202345396857709e-05}"
"{'label': 'Neutral', 'score': 0.9999663829803467}","{'label': 'Positive', 'score': 3.2448551792185754e-05}","{'label': 'Negative', 'score': 1.201050508825574e-06}"
"{'label': 'Neutral', 'score': 0.9999845027923584}","{'label': 'Negative', 'score': 1.4268181985244155e-05}","{'label': 'Positive', 'score': 1.212257757288171e-06}"
"{'label': 'Neutral', 'score': 0.999957799911499}","{'label': 'Negative', 'score': 3.257406206103042e-05}","{'label': 'Positive', 'score': 9.679890354163945e-06}"
"{'label': 'Neutral', 'score': 0.9581427574157715}","{'label': 'Negative', 'score': 0.04184187576174736}","{'label': 'Positive', 'score': 1.5288118447642773e-05}"
"{'label': 'Neutral', 'score': 0.731607973575592}","{'label': 'Negative', 'score': 0.2683655619621277}","{'label': 'Positive', 'score': 2.650590249686502e-05}"
"{'label': 'Neutral', 'score': 0.9999642372131348}","{'label': 'Negative', 'score': 2.7581721951719373e-05}","{'label': 'Positive', 'score': 8.235618224716745e-06}"
"{'label': 'Neutral', 'score': 0.9999399185180664}","{'label': 'Negative', 'score': 5.866391438758001e-05}","{'label': 'Positive', 'score': 1.483019104853156e-06}"
"{'label': 'Neutral', 'score': 0.999788224697113}","{'label': 'Negative', 'score': 0.00019068765686824918}","{'label': 'Positive', 'score': 2.1094168914714828e-05}"
"{'label': 'Neutral', 'score': 0.9251165390014648}","{'label': 'Negative', 'score': 0.07488229125738144}","{'label': 'Positive', 'score': 1.2175778465461917e-06}"
"{'label': 'Positive', 'score': 0.9999966621398926}","{'label': 'Neutral', 'score': 2.838508862623712e-06}","{'label': 'Negative', 'score': 4.6807559783701436e-07}"
"{'label': 'Neutral', 'score': 0.9999496936798096}","{'label': 'Negative', 'score': 4.914407691103406e-05}","{'label': 'Positive', 'score': 1.2159134712419473e-06}"
"{'label': 'Neutral', 'score': 0.9999538660049438}","{'label': 'Negative', 'score': 4.426021405379288e-05}","{'label': 'Positive', 'score': 1.8706143691815669e-06}"
"{'label': 'Neutral', 'score': 0.9998359680175781}","{'label': 'Negative', 'score': 0.00014131526404526085}","{'label': 'Positive', 'score': 2.259341454191599e-05}"
"{'label': 'Neutral', 'score': 0.999948263168335}","{'label': 'Negative', 'score': 5.025619248044677e-05}","{'label': 'Positive', 'score': 1.4649264130639494e-06}"
"{'label': 'Neutral', 'score': 0.9568200707435608}","{'label': 'Negative', 'score': 0.04315313324332237}","{'label': 'Positive', 'score': 2.6769766918732785e-05}"
"{'label': 'Neutral', 'score': 0.9975343942642212}","{'label': 'Negative', 'score': 0.002364891115576029}","{'label': 'Positive', 'score': 0.00010075098543893546}"
"{'label': 'Neutral', 'score': 0.9999978542327881}","{'label': 'Negative', 'score': 2.0449660951271653e-06}","{'label': 'Positive', 'score': 1.4361638989157655e-07}"
"{'label': 'Neutral', 'score': 0.9965304732322693}","{'label': 'Positive', 'score': 0.002180613810196519}","{'label': 'Negative', 'score': 0.0012889071367681026}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.323598273321295e-08}","{'label': 'Negative', 'score': 3.090990574605712e-09}"
"{'label': 'Neutral', 'score': 0.9999872446060181}","{'label': 'Negative', 'score': 6.630158168263733e-06}","{'label': 'Positive', 'score': 6.1211781030579004e-06}"
"{'label': 'Negative', 'score': 0.9999613761901855}","{'label': 'Neutral', 'score': 3.8545615097973496e-05}","{'label': 'Positive', 'score': 8.790645011913512e-08}"
"{'label': 'Neutral', 'score': 0.9999964237213135}","{'label': 'Negative', 'score': 3.519647862049169e-06}","{'label': 'Positive', 'score': 3.823395289259679e-08}"
"{'label': 'Neutral', 'score': 0.9999982118606567}","{'label': 'Negative', 'score': 1.7717148921292392e-06}","{'label': 'Positive', 'score': 2.206632032653033e-08}"
"{'label': 'Neutral', 'score': 0.9999997615814209}","{'label': 'Positive', 'score': 1.7576442701283668e-07}","{'label': 'Negative', 'score': 1.46499274933376e-07}"
"{'label': 'Positive', 'score': 0.9998524188995361}","{'label': 'Neutral', 'score': 0.00013390378444455564}","{'label': 'Negative', 'score': 1.3760884030489251e-05}"
"{'label': 'Neutral', 'score': 0.9975343942642212}","{'label': 'Negative', 'score': 0.002364891115576029}","{'label': 'Positive', 'score': 0.00010075098543893546}"
"{'label': 'Neutral', 'score': 0.8923419713973999}","{'label': 'Positive', 'score': 0.1076551303267479}","{'label': 'Negative', 'score': 2.8772531095455633e-06}"
"{'label': 'Positive', 'score': 0.9999951124191284}","{'label': 'Negative', 'score': 4.112325768801384e-06}","{'label': 'Neutral', 'score': 8.524118584318785e-07}"
"{'label': 'Negative', 'score': 0.8812394142150879}","{'label': 'Neutral', 'score': 0.10333520174026489}","{'label': 'Positive', 'score': 0.015425422228872776}"
"{'label': 'Negative', 'score': 0.9983799457550049}","{'label': 'Neutral', 'score': 0.0008100697305053473}","{'label': 'Positive', 'score': 0.0008099763072095811}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.5076739856567656e-08}","{'label': 'Negative', 'score': 1.9043404630991745e-09}"
"{'label': 'Positive', 'score': 0.9999994039535522}","{'label': 'Neutral', 'score': 5.31272348780476e-07}","{'label': 'Negative', 'score': 1.6079130205071124e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 3.965837880315348e-09}","{'label': 'Neutral', 'score': 2.5898854172368146e-09}"
"{'label': 'Neutral', 'score': 0.9994357228279114}","{'label': 'Positive', 'score': 0.0005306965322233737}","{'label': 'Negative', 'score': 3.3616579457884654e-05}"
"{'label': 'Neutral', 'score': 0.9998308420181274}","{'label': 'Negative', 'score': 0.00015105822240002453}","{'label': 'Positive', 'score': 1.8121014363714494e-05}"
"{'label': 'Neutral', 'score': 0.9999953508377075}","{'label': 'Negative', 'score': 4.665421784011414e-06}","{'label': 'Positive', 'score': 4.5052189534544596e-08}"
"{'label': 'Neutral', 'score': 0.9999923706054688}","{'label': 'Negative', 'score': 7.655015906493645e-06}","{'label': 'Positive', 'score': 3.513968849233606e-08}"
"{'label': 'Positive', 'score': 0.8702683448791504}","{'label': 'Neutral', 'score': 0.12972232699394226}","{'label': 'Negative', 'score': 9.319690434494987e-06}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Negative', 'score': 1.1090842377825538e-07}","{'label': 'Neutral', 'score': 1.0347133638788364e-07}"
"{'label': 'Neutral', 'score': 0.9998093247413635}","{'label': 'Negative', 'score': 0.00011334466398693621}","{'label': 'Positive', 'score': 7.73526044213213e-05}"
"{'label': 'Positive', 'score': 0.7383617758750916}","{'label': 'Neutral', 'score': 0.2616245746612549}","{'label': 'Negative', 'score': 1.3672796740138438e-05}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Neutral', 'score': 1.1511753683635106e-07}","{'label': 'Negative', 'score': 3.613693877468904e-08}"
"{'label': 'Negative', 'score': 0.9999853372573853}","{'label': 'Neutral', 'score': 1.3712784493691288e-05}","{'label': 'Positive', 'score': 9.54752408688364e-07}"
"{'label': 'Neutral', 'score': 0.9999970197677612}","{'label': 'Negative', 'score': 2.9117934445821447e-06}","{'label': 'Positive', 'score': 9.15746838359155e-08}"
"{'label': 'Neutral', 'score': 0.8539012670516968}","{'label': 'Negative', 'score': 0.1456081122159958}","{'label': 'Positive', 'score': 0.0004905983805656433}"
"{'label': 'Neutral', 'score': 0.9999991655349731}","{'label': 'Negative', 'score': 6.932605742804299e-07}","{'label': 'Positive', 'score': 1.5628033622760995e-07}"
"{'label': 'Neutral', 'score': 0.999948263168335}","{'label': 'Positive', 'score': 4.555179475573823e-05}","{'label': 'Negative', 'score': 6.211765139596537e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 2.33910624203304e-09}","{'label': 'Neutral', 'score': 1.3964909229002842e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.1854418719158275e-08}","{'label': 'Negative', 'score': 9.840976922248501e-10}"
"{'label': 'Neutral', 'score': 0.9999711513519287}","{'label': 'Positive', 'score': 2.0955116269760765e-05}","{'label': 'Negative', 'score': 7.867458407417871e-06}"
"{'label': 'Neutral', 'score': 0.7408912181854248}","{'label': 'Positive', 'score': 0.2589681148529053}","{'label': 'Negative', 'score': 0.00014072989870328456}"
"{'label': 'Negative', 'score': 0.999915599822998}","{'label': 'Neutral', 'score': 8.344501839019358e-05}","{'label': 'Positive', 'score': 9.261050308850827e-07}"
"{'label': 'Neutral', 'score': 0.9999983310699463}","{'label': 'Negative', 'score': 1.5364591945399297e-06}","{'label': 'Positive', 'score': 1.0915693593460674e-07}"
"{'label': 'Neutral', 'score': 0.999998927116394}","{'label': 'Positive', 'score': 9.010195185510383e-07}","{'label': 'Negative', 'score': 7.171236404701631e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.940236302848234e-09}","{'label': 'Negative', 'score': 3.2663001192645424e-09}"
"{'label': 'Neutral', 'score': 0.9965304732322693}","{'label': 'Positive', 'score': 0.002180613810196519}","{'label': 'Negative', 'score': 0.0012889071367681026}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.5370144268445074e-08}","{'label': 'Negative', 'score': 8.837988119125839e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 7.207166863310022e-09}","{'label': 'Neutral', 'score': 6.885434888914688e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 8.684039265460797e-09}","{'label': 'Neutral', 'score': 6.05134609088509e-09}"
"{'label': 'Neutral', 'score': 0.6337532997131348}","{'label': 'Positive', 'score': 0.3661339282989502}","{'label': 'Negative', 'score': 0.00011275740689598024}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.1489987628010567e-08}","{'label': 'Negative', 'score': 2.8838744725590004e-09}"
"{'label': 'Neutral', 'score': 0.9994532465934753}","{'label': 'Positive', 'score': 0.0005432080361060798}","{'label': 'Negative', 'score': 3.5684190606843913e-06}"
"{'label': 'Positive', 'score': 0.9999943971633911}","{'label': 'Negative', 'score': 4.544401235762052e-06}","{'label': 'Neutral', 'score': 1.1240160802117316e-06}"
"{'label': 'Positive', 'score': 0.9993021488189697}","{'label': 'Neutral', 'score': 0.0006977279554121196}","{'label': 'Negative', 'score': 8.465939060897654e-08}"
"{'label': 'Neutral', 'score': 0.9990732669830322}","{'label': 'Positive', 'score': 0.0009261217783205211}","{'label': 'Negative', 'score': 6.483057291006844e-07}"
"{'label': 'Neutral', 'score': 0.9990732669830322}","{'label': 'Positive', 'score': 0.0009261217783205211}","{'label': 'Negative', 'score': 6.483057291006844e-07}"
"{'label': 'Negative', 'score': 0.9876892566680908}","{'label': 'Neutral', 'score': 0.010690231807529926}","{'label': 'Positive', 'score': 0.0016204706626012921}"
"{'label': 'Positive', 'score': 0.9999338388442993}","{'label': 'Neutral', 'score': 6.229530117707327e-05}","{'label': 'Negative', 'score': 3.7591448744933587e-06}"
"{'label': 'Negative', 'score': 0.9597604870796204}","{'label': 'Neutral', 'score': 0.03174488991498947}","{'label': 'Positive', 'score': 0.008494588546454906}"
"{'label': 'Positive', 'score': 0.995499312877655}","{'label': 'Negative', 'score': 0.003988056909292936}","{'label': 'Neutral', 'score': 0.0005126920877955854}"
"{'label': 'Positive', 'score': 0.9995909333229065}","{'label': 'Neutral', 'score': 0.0004055514873471111}","{'label': 'Negative', 'score': 3.5706809740077006e-06}"
"{'label': 'Neutral', 'score': 0.9999991655349731}","{'label': 'Positive', 'score': 7.099872050275735e-07}","{'label': 'Negative', 'score': 1.7267336716031423e-07}"
"{'label': 'Neutral', 'score': 0.9999983310699463}","{'label': 'Negative', 'score': 1.5456106439160067e-06}","{'label': 'Positive', 'score': 6.236799521275316e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.084074938821459e-09}","{'label': 'Negative', 'score': 3.366642520319374e-09}"
"{'label': 'Negative', 'score': 0.9999853372573853}","{'label': 'Neutral', 'score': 1.3712784493691288e-05}","{'label': 'Positive', 'score': 9.54752408688364e-07}"
"{'label': 'Neutral', 'score': 0.9999969005584717}","{'label': 'Negative', 'score': 3.042083790205652e-06}","{'label': 'Positive', 'score': 2.3839882956622205e-08}"
"{'label': 'Neutral', 'score': 0.9999953508377075}","{'label': 'Negative', 'score': 4.665421784011414e-06}","{'label': 'Positive', 'score': 4.5052189534544596e-08}"
"{'label': 'Neutral', 'score': 0.9999923706054688}","{'label': 'Negative', 'score': 7.655015906493645e-06}","{'label': 'Positive', 'score': 3.513968849233606e-08}"
"{'label': 'Positive', 'score': 0.9995830655097961}","{'label': 'Neutral', 'score': 0.0003952888073399663}","{'label': 'Negative', 'score': 2.164301258744672e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 4.7742364728264874e-08}","{'label': 'Negative', 'score': 6.212669934058113e-09}"
"{'label': 'Neutral', 'score': 0.8488288521766663}","{'label': 'Positive', 'score': 0.15109962224960327}","{'label': 'Negative', 'score': 7.15646892786026e-05}"
"{'label': 'Neutral', 'score': 0.9999696016311646}","{'label': 'Negative', 'score': 2.948679684777744e-05}","{'label': 'Positive', 'score': 9.838449841481633e-07}"
"{'label': 'Neutral', 'score': 0.9999709129333496}","{'label': 'Negative', 'score': 2.7491278160596266e-05}","{'label': 'Positive', 'score': 1.5366546222139732e-06}"
"{'label': 'Neutral', 'score': 0.999981164932251}","{'label': 'Negative', 'score': 1.7519001630716957e-05}","{'label': 'Positive', 'score': 1.2699827038886724e-06}"
"{'label': 'Neutral', 'score': 0.9922653436660767}","{'label': 'Positive', 'score': 0.007693439722061157}","{'label': 'Negative', 'score': 4.1243198211304843e-05}"
"{'label': 'Positive', 'score': 0.9999995231628418}","{'label': 'Neutral', 'score': 4.175826973096264e-07}","{'label': 'Negative', 'score': 1.0183833332177983e-08}"
"{'label': 'Neutral', 'score': 0.9999984502792358}","{'label': 'Positive', 'score': 1.058476414073084e-06}","{'label': 'Negative', 'score': 5.32818887677422e-07}"
"{'label': 'Neutral', 'score': 0.9998661279678345}","{'label': 'Negative', 'score': 0.00010675672092474997}","{'label': 'Positive', 'score': 2.705719816731289e-05}"
"{'label': 'Neutral', 'score': 0.9998592138290405}","{'label': 'Negative', 'score': 0.00012458481069188565}","{'label': 'Positive', 'score': 1.6191710528801195e-05}"
"{'label': 'Positive', 'score': 0.7768136858940125}","{'label': 'Neutral', 'score': 0.2229706346988678}","{'label': 'Negative', 'score': 0.000215685271541588}"
"{'label': 'Neutral', 'score': 0.9999955892562866}","{'label': 'Positive', 'score': 2.342164179935935e-06}","{'label': 'Negative', 'score': 1.9742494714591885e-06}"
"{'label': 'Positive', 'score': 0.9999912977218628}","{'label': 'Neutral', 'score': 8.453916962025687e-06}","{'label': 'Negative', 'score': 1.933218953809046e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.5728305768902828e-08}","{'label': 'Negative', 'score': 3.0785347604478375e-09}"
"{'label': 'Neutral', 'score': 0.9998723268508911}","{'label': 'Negative', 'score': 0.00010149353329325095}","{'label': 'Positive', 'score': 2.6272109607816674e-05}"
"{'label': 'Neutral', 'score': 0.9998594522476196}","{'label': 'Negative', 'score': 0.00012314453488215804}","{'label': 'Positive', 'score': 1.7364513041684404e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.5928149910138245e-09}","{'label': 'Neutral', 'score': 7.452057859680394e-10}"
"{'label': 'Positive', 'score': 0.9999920129776001}","{'label': 'Neutral', 'score': 7.865784937166609e-06}","{'label': 'Negative', 'score': 8.69108305323607e-08}"
"{'label': 'Neutral', 'score': 0.9999911785125732}","{'label': 'Positive', 'score': 6.86672183292103e-06}","{'label': 'Negative', 'score': 1.8748135062196525e-06}"
"{'label': 'Neutral', 'score': 0.9093487858772278}","{'label': 'Negative', 'score': 0.09064560383558273}","{'label': 'Positive', 'score': 5.631804924632888e-06}"
"{'label': 'Negative', 'score': 0.9999853372573853}","{'label': 'Neutral', 'score': 1.3712784493691288e-05}","{'label': 'Positive', 'score': 9.54752408688364e-07}"
"{'label': 'Positive', 'score': 0.9515600800514221}","{'label': 'Neutral', 'score': 0.04841078445315361}","{'label': 'Negative', 'score': 2.9187582185841165e-05}"
"{'label': 'Negative', 'score': 0.9997482895851135}","{'label': 'Neutral', 'score': 0.00016769461217336357}","{'label': 'Positive', 'score': 8.40537395561114e-05}"
"{'label': 'Neutral', 'score': 0.9999953508377075}","{'label': 'Positive', 'score': 4.6066065806371626e-06}","{'label': 'Negative', 'score': 2.8511614402759733e-08}"
"{'label': 'Negative', 'score': 0.9999983310699463}","{'label': 'Positive', 'score': 1.4121573030934087e-06}","{'label': 'Neutral', 'score': 2.896449302625115e-07}"
