0,1,2
"{'label': 'neutral', 'score': 0.8142686486244202}","{'label': 'positive', 'score': 0.15282580256462097}","{'label': 'negative', 'score': 0.03290555626153946}"
"{'label': 'neutral', 'score': 0.9338810443878174}","{'label': 'positive', 'score': 0.05382569506764412}","{'label': 'negative', 'score': 0.012293300591409206}"
"{'label': 'positive', 'score': 0.9532382488250732}","{'label': 'neutral', 'score': 0.03025897964835167}","{'label': 'negative', 'score': 0.016502700746059418}"
"{'label': 'negative', 'score': 0.9742364287376404}","{'label': 'neutral', 'score': 0.016422061249613762}","{'label': 'positive', 'score': 0.009341615252196789}"
"{'label': 'positive', 'score': 0.891241192817688}","{'label': 'negative', 'score': 0.08719655126333237}","{'label': 'neutral', 'score': 0.021562298759818077}"
"{'label': 'positive', 'score': 0.8773494362831116}","{'label': 'negative', 'score': 0.09647425264120102}","{'label': 'neutral', 'score': 0.02617635205388069}"
"{'label': 'neutral', 'score': 0.9332911968231201}","{'label': 'positive', 'score': 0.049466632306575775}","{'label': 'negative', 'score': 0.017242202535271645}"
"{'label': 'neutral', 'score': 0.6345173716545105}","{'label': 'positive', 'score': 0.35691288113594055}","{'label': 'negative', 'score': 0.008569719269871712}"
"{'label': 'negative', 'score': 0.7250595092773438}","{'label': 'positive', 'score': 0.25936222076416016}","{'label': 'neutral', 'score': 0.015578268095850945}"
"{'label': 'negative', 'score': 0.9700835943222046}","{'label': 'neutral', 'score': 0.018389053642749786}","{'label': 'positive', 'score': 0.011527292430400848}"
"{'label': 'negative', 'score': 0.629327118396759}","{'label': 'neutral', 'score': 0.26670336723327637}","{'label': 'positive', 'score': 0.10396949201822281}"
"{'label': 'neutral', 'score': 0.6977596879005432}","{'label': 'positive', 'score': 0.19018974900245667}","{'label': 'negative', 'score': 0.11205059289932251}"
"{'label': 'positive', 'score': 0.6968789100646973}","{'label': 'neutral', 'score': 0.2934461534023285}","{'label': 'negative', 'score': 0.009674946777522564}"
"{'label': 'positive', 'score': 0.5256720185279846}","{'label': 'negative', 'score': 0.4510556161403656}","{'label': 'neutral', 'score': 0.023272404447197914}"
"{'label': 'positive', 'score': 0.869016706943512}","{'label': 'negative', 'score': 0.11007513850927353}","{'label': 'neutral', 'score': 0.020908165723085403}"
"{'label': 'neutral', 'score': 0.6374251246452332}","{'label': 'positive', 'score': 0.32136639952659607}","{'label': 'negative', 'score': 0.04120850935578346}"
"{'label': 'neutral', 'score': 0.9216347336769104}","{'label': 'positive', 'score': 0.05579512566328049}","{'label': 'negative', 'score': 0.022570142522454262}"
"{'label': 'neutral', 'score': 0.9453195929527283}","{'label': 'negative', 'score': 0.02806193195283413}","{'label': 'positive', 'score': 0.026618489995598793}"
"{'label': 'neutral', 'score': 0.4984496235847473}","{'label': 'positive', 'score': 0.4937317669391632}","{'label': 'negative', 'score': 0.00781866442412138}"
"{'label': 'neutral', 'score': 0.9233877062797546}","{'label': 'positive', 'score': 0.03963695839047432}","{'label': 'negative', 'score': 0.03697538375854492}"
"{'label': 'neutral', 'score': 0.9070302248001099}","{'label': 'negative', 'score': 0.047946419566869736}","{'label': 'positive', 'score': 0.0450233593583107}"
"{'label': 'neutral', 'score': 0.7715417742729187}","{'label': 'negative', 'score': 0.17285585403442383}","{'label': 'positive', 'score': 0.055602315813302994}"
"{'label': 'negative', 'score': 0.527170717716217}","{'label': 'neutral', 'score': 0.45605647563934326}","{'label': 'positive', 'score': 0.016772856935858727}"
"{'label': 'neutral', 'score': 0.6187971830368042}","{'label': 'positive', 'score': 0.3360659182071686}","{'label': 'negative', 'score': 0.04513684660196304}"
"{'label': 'neutral', 'score': 0.9346696734428406}","{'label': 'positive', 'score': 0.0369279645383358}","{'label': 'negative', 'score': 0.028402309864759445}"
"{'label': 'positive', 'score': 0.7810908555984497}","{'label': 'negative', 'score': 0.19862131774425507}","{'label': 'neutral', 'score': 0.02028781548142433}"
"{'label': 'positive', 'score': 0.8510212302207947}","{'label': 'negative', 'score': 0.12798263132572174}","{'label': 'neutral', 'score': 0.020996110513806343}"
"{'label': 'neutral', 'score': 0.9295994639396667}","{'label': 'positive', 'score': 0.05040974169969559}","{'label': 'negative', 'score': 0.01999075897037983}"
"{'label': 'neutral', 'score': 0.6630650162696838}","{'label': 'positive', 'score': 0.23880915343761444}","{'label': 'negative', 'score': 0.09812580049037933}"
"{'label': 'positive', 'score': 0.7851626873016357}","{'label': 'neutral', 'score': 0.20639576017856598}","{'label': 'negative', 'score': 0.00844158697873354}"
"{'label': 'neutral', 'score': 0.873498797416687}","{'label': 'positive', 'score': 0.08938752114772797}","{'label': 'negative', 'score': 0.037113696336746216}"
"{'label': 'negative', 'score': 0.8347489237785339}","{'label': 'neutral', 'score': 0.13362635672092438}","{'label': 'positive', 'score': 0.03162471950054169}"
"{'label': 'positive', 'score': 0.7146861553192139}","{'label': 'negative', 'score': 0.1538078337907791}","{'label': 'neutral', 'score': 0.13150599598884583}"
