0,1,2
"{'label': 'Positive', 'score': 0.9999436140060425}","{'label': 'Neutral', 'score': 5.599954602075741e-05}","{'label': 'Negative', 'score': 3.9104943994061614e-07}"
"{'label': 'Neutral', 'score': 0.7268189787864685}","{'label': 'Positive', 'score': 0.2727581560611725}","{'label': 'Negative', 'score': 0.00042292746366001666}"
"{'label': 'Neutral', 'score': 0.9989271759986877}","{'label': 'Positive', 'score': 0.001053530490025878}","{'label': 'Negative', 'score': 1.926208642544225e-05}"
"{'label': 'Positive', 'score': 0.9841710925102234}","{'label': 'Neutral', 'score': 0.015217909589409828}","{'label': 'Negative', 'score': 0.0006110157119110227}"
"{'label': 'Positive', 'score': 0.9993643164634705}","{'label': 'Neutral', 'score': 0.0006328913732431829}","{'label': 'Negative', 'score': 2.8770884910045424e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.051425944202492e-08}","{'label': 'Negative', 'score': 6.400949992269034e-09}"
"{'label': 'Positive', 'score': 0.9999996423721313}","{'label': 'Neutral', 'score': 3.9585705735589727e-07}","{'label': 'Negative', 'score': 3.036738149830853e-08}"
"{'label': 'Neutral', 'score': 0.9832982420921326}","{'label': 'Positive', 'score': 0.01662272959947586}","{'label': 'Negative', 'score': 7.898009062046185e-05}"
"{'label': 'Positive', 'score': 0.9999990463256836}","{'label': 'Neutral', 'score': 9.64788000601402e-07}","{'label': 'Negative', 'score': 2.1809634986880155e-08}"
"{'label': 'Neutral', 'score': 0.9999446868896484}","{'label': 'Negative', 'score': 3.931390165234916e-05}","{'label': 'Positive', 'score': 1.5938483556965366e-05}"
"{'label': 'Neutral', 'score': 0.999992847442627}","{'label': 'Negative', 'score': 4.745400474348571e-06}","{'label': 'Positive', 'score': 2.407697593298508e-06}"
"{'label': 'Neutral', 'score': 0.9999433755874634}","{'label': 'Negative', 'score': 4.783717304235324e-05}","{'label': 'Positive', 'score': 8.764412996242754e-06}"
"{'label': 'Positive', 'score': 0.9999992847442627}","{'label': 'Negative', 'score': 4.954355290465173e-07}","{'label': 'Neutral', 'score': 2.3124859183099034e-07}"
"{'label': 'Neutral', 'score': 0.9999943971633911}","{'label': 'Negative', 'score': 5.59750742468168e-06}","{'label': 'Positive', 'score': 3.07818410760774e-08}"
"{'label': 'Neutral', 'score': 0.9999909400939941}","{'label': 'Negative', 'score': 7.748941243335139e-06}","{'label': 'Positive', 'score': 1.2741852515318897e-06}"
"{'label': 'Positive', 'score': 0.999872088432312}","{'label': 'Neutral', 'score': 0.00012759186211042106}","{'label': 'Negative', 'score': 4.164748759194481e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.2458996501152342e-08}","{'label': 'Neutral', 'score': 6.668452012803527e-09}"
"{'label': 'Neutral', 'score': 0.873553454875946}","{'label': 'Positive', 'score': 0.12608039379119873}","{'label': 'Negative', 'score': 0.0003661676892079413}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 8.62787352673422e-09}","{'label': 'Negative', 'score': 6.077359948619687e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 5.4743334310103364e-09}","{'label': 'Neutral', 'score': 2.535141208070968e-09}"
"{'label': 'Positive', 'score': 0.9999939203262329}","{'label': 'Neutral', 'score': 5.583344318438321e-06}","{'label': 'Negative', 'score': 4.7330647134913306e-07}"
"{'label': 'Neutral', 'score': 0.9999947547912598}","{'label': 'Negative', 'score': 4.43537419414497e-06}","{'label': 'Positive', 'score': 8.422211408287694e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 2.8529469897620174e-09}","{'label': 'Neutral', 'score': 5.646413892002045e-10}"
"{'label': 'Neutral', 'score': 0.9999706745147705}","{'label': 'Negative', 'score': 2.7480709832161665e-05}","{'label': 'Positive', 'score': 1.845783117460087e-06}"
"{'label': 'Negative', 'score': 0.9970418810844421}","{'label': 'Neutral', 'score': 0.0029462717939168215}","{'label': 'Positive', 'score': 1.1799903404607903e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.1451197323708584e-08}","{'label': 'Negative', 'score': 1.4219145860749904e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 3.11904457817036e-09}","{'label': 'Neutral', 'score': 3.5753933147475436e-10}"
"{'label': 'Neutral', 'score': 0.9785165190696716}","{'label': 'Negative', 'score': 0.02104819379746914}","{'label': 'Positive', 'score': 0.0004352021205704659}"
"{'label': 'Positive', 'score': 0.9948782920837402}","{'label': 'Neutral', 'score': 0.004034161102026701}","{'label': 'Negative', 'score': 0.0010876007145270705}"
"{'label': 'Neutral', 'score': 0.9999111890792847}","{'label': 'Negative', 'score': 5.982956645311788e-05}","{'label': 'Positive', 'score': 2.8932627174071968e-05}"
"{'label': 'Neutral', 'score': 0.999992847442627}","{'label': 'Negative', 'score': 4.525128133536782e-06}","{'label': 'Positive', 'score': 2.5683293642941862e-06}"
"{'label': 'Positive', 'score': 0.9998084902763367}","{'label': 'Neutral', 'score': 0.00018946737691294402}","{'label': 'Negative', 'score': 1.9761987459787633e-06}"
"{'label': 'Positive', 'score': 0.9989921450614929}","{'label': 'Neutral', 'score': 0.0010017849272117019}","{'label': 'Negative', 'score': 6.121324076957535e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 2.882836369622055e-08}","{'label': 'Negative', 'score': 3.3341669425368536e-09}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Negative', 'score': 9.267454004202591e-08}","{'label': 'Neutral', 'score': 1.5504937778132444e-08}"
"{'label': 'Neutral', 'score': 0.579983651638031}","{'label': 'Positive', 'score': 0.4199103116989136}","{'label': 'Negative', 'score': 0.0001059637070284225}"
"{'label': 'Positive', 'score': 0.999955415725708}","{'label': 'Neutral', 'score': 4.437439565663226e-05}","{'label': 'Negative', 'score': 2.2820751155450125e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 7.856336914358053e-09}","{'label': 'Neutral', 'score': 2.758528072632771e-09}"
"{'label': 'Positive', 'score': 0.9715245962142944}","{'label': 'Neutral', 'score': 0.028290703892707825}","{'label': 'Negative', 'score': 0.00018472444207873195}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.3764172024366417e-09}","{'label': 'Negative', 'score': 1.3464649395444894e-09}"
"{'label': 'Negative', 'score': 0.9999995231628418}","{'label': 'Positive', 'score': 4.018569939034933e-07}","{'label': 'Neutral', 'score': 2.9537563506210063e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.9932104551639895e-09}","{'label': 'Neutral', 'score': 1.1970272550954064e-09}"
"{'label': 'Neutral', 'score': 0.9999794960021973}","{'label': 'Negative', 'score': 1.8925984477391466e-05}","{'label': 'Positive', 'score': 1.4972534927437664e-06}"
"{'label': 'Neutral', 'score': 0.999995231628418}","{'label': 'Negative', 'score': 3.983758688264061e-06}","{'label': 'Positive', 'score': 8.578973051953653e-07}"
"{'label': 'Neutral', 'score': 0.5041695237159729}","{'label': 'Positive', 'score': 0.4955849051475525}","{'label': 'Negative', 'score': 0.0002455483772791922}"
"{'label': 'Negative', 'score': 0.9996567964553833}","{'label': 'Positive', 'score': 0.00033430365147069097}","{'label': 'Neutral', 'score': 8.954282748163678e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 4.293437605440431e-09}","{'label': 'Negative', 'score': 3.4860090369903673e-09}"
"{'label': 'Positive', 'score': 0.9999942779541016}","{'label': 'Negative', 'score': 4.839076609641779e-06}","{'label': 'Neutral', 'score': 8.749754556447442e-07}"
"{'label': 'Positive', 'score': 0.9999998807907104}","{'label': 'Neutral', 'score': 6.843775679499231e-08}","{'label': 'Negative', 'score': 5.3317265269470226e-08}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Neutral', 'score': 2.3047151387345366e-07}","{'label': 'Negative', 'score': 5.2585225063239704e-09}"
"{'label': 'Neutral', 'score': 0.9999830722808838}","{'label': 'Negative', 'score': 1.2788896128768101e-05}","{'label': 'Positive', 'score': 4.1734556361916475e-06}"
"{'label': 'Neutral', 'score': 0.9999665021896362}","{'label': 'Negative', 'score': 1.7450147424824536e-05}","{'label': 'Positive', 'score': 1.6111818695208058e-05}"
"{'label': 'Neutral', 'score': 0.9990992546081543}","{'label': 'Negative', 'score': 0.0007908764528110623}","{'label': 'Positive', 'score': 0.00010992899478878826}"
"{'label': 'Positive', 'score': 0.9999988079071045}","{'label': 'Neutral', 'score': 9.274770036427071e-07}","{'label': 'Negative', 'score': 2.455967091918865e-07}"
"{'label': 'Neutral', 'score': 0.9999991655349731}","{'label': 'Negative', 'score': 6.148705438135948e-07}","{'label': 'Positive', 'score': 2.739527076300874e-07}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 2.3360429146634942e-09}","{'label': 'Neutral', 'score': 1.6659542634300806e-09}"
"{'label': 'Negative', 'score': 0.9781529903411865}","{'label': 'Neutral', 'score': 0.0218040831387043}","{'label': 'Positive', 'score': 4.286694820621051e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.8341787522711e-09}","{'label': 'Negative', 'score': 7.454161732312059e-10}"
"{'label': 'Positive', 'score': 0.999884843826294}","{'label': 'Neutral', 'score': 0.00011481974797789007}","{'label': 'Negative', 'score': 3.2716755526962515e-07}"
"{'label': 'Negative', 'score': 0.9999144077301025}","{'label': 'Neutral', 'score': 7.816388097126037e-05}","{'label': 'Positive', 'score': 7.376924713753397e-06}"
"{'label': 'Positive', 'score': 0.9997944235801697}","{'label': 'Neutral', 'score': 0.0002054602955467999}","{'label': 'Negative', 'score': 6.494047966043581e-08}"
"{'label': 'Positive', 'score': 0.9999604225158691}","{'label': 'Neutral', 'score': 3.8764959754189476e-05}","{'label': 'Negative', 'score': 8.626948329037987e-07}"
"{'label': 'Positive', 'score': 0.9999736547470093}","{'label': 'Neutral', 'score': 2.0704950657091103e-05}","{'label': 'Negative', 'score': 5.545332442125073e-06}"
"{'label': 'Neutral', 'score': 0.9999933242797852}","{'label': 'Negative', 'score': 4.3941327021457255e-06}","{'label': 'Positive', 'score': 2.2930646537133725e-06}"
"{'label': 'Neutral', 'score': 0.9999967813491821}","{'label': 'Negative', 'score': 3.2099073905555997e-06}","{'label': 'Positive', 'score': 1.982901309816043e-08}"
"{'label': 'Positive', 'score': 0.9999997615814209}","{'label': 'Neutral', 'score': 1.313169661898428e-07}","{'label': 'Negative', 'score': 1.2458133369364077e-07}"
"{'label': 'Positive', 'score': 0.9445191621780396}","{'label': 'Neutral', 'score': 0.05541175603866577}","{'label': 'Negative', 'score': 6.910446245456114e-05}"
"{'label': 'Positive', 'score': 0.9999908208847046}","{'label': 'Neutral', 'score': 6.8912081587768625e-06}","{'label': 'Negative', 'score': 2.2597484985453775e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 5.9400807828069446e-08}","{'label': 'Negative', 'score': 1.881376121559697e-08}"
"{'label': 'Neutral', 'score': 0.9131513237953186}","{'label': 'Positive', 'score': 0.08674328774213791}","{'label': 'Negative', 'score': 0.00010537213529460132}"
"{'label': 'Neutral', 'score': 0.999994158744812}","{'label': 'Negative', 'score': 4.099900706933113e-06}","{'label': 'Positive', 'score': 1.770964331626601e-06}"
"{'label': 'Neutral', 'score': 0.9998751878738403}","{'label': 'Negative', 'score': 8.631882519694045e-05}","{'label': 'Positive', 'score': 3.8516205677296966e-05}"
